eventid,message,url,timestamp,Anon Src IP,src_port,dst_port,sensor,request,user_agent,Dst IP,VT Malicious,VT Engines,VT Labels,VT Tags,VT Reputation,Geo Location,ISP
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 07:21:55.041325+00:00,183.171.222.191,50158,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.26.0.2,2,"GreyNoise, SOCRadar","malicious, malware",,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 07:21:55.093423+00:00,183.171.222.191,50174,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.26.0.2,2,"GreyNoise, SOCRadar","malicious, malware",,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/,2025-01-20 12:23:09.345709+00:00,82.1.223.135,42184,9200,t-pot,GET,,172.26.0.2,0,,,,0,US,AS63949 Akamai Connected Cloud
elasticpot.recon,Scan,/_status,2025-01-20 14:06:21.099987+00:00,180.84.72.229,43878,9200,t-pot,GET,Mozilla/5.0 zgrab/0.x,172.26.0.2,0,,,,-1,US,AS8075 Microsoft Corporation
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 19:26:47.914463+00:00,93.111.0.85,48330,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.26.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 19:26:48.054725+00:00,93.111.0.85,48338,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.26.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 19:31:04.889589+00:00,85.123.143.143,39524,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.26.0.2,0,,,,0,AU,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 19:31:05.316292+00:00,85.123.143.143,39532,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.26.0.2,0,,,,0,AU,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 20:21:33.933714+00:00,89.8.170.217,43644,9200,t-pot,GET,Mozilla/OnlyScans (optout@onlyscans.com),172.26.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
elasticpot.recon,Scan,/_cat/indices?format=json,2025-01-20 20:21:33.982123+00:00,89.8.170.217,43656,9200,t-pot,GET,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",172.26.0.2,0,,,,0,US,"AS14061 DigitalOcean, LLC"
