Anon Src IP,dest_port,Dst IP,level,method,path,Src IP,status_code,target,timestamp,user_agent,user_agent_browser,user_agent_device_info,user_agent_engine_version,user_agent_platform,VT Labels,VT Reputation,Geo Location,ISP,Malicious_Flag
132.202.251.153,3000,3.15.22.167,WARN,GET,/,65.49.1.134,201,honeyaml::access-log,2025-04-12T13:45:02.901740Z,Mozilla/5.0 (X11; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/115.0,Mozilla/5.0,Linux x86_64,rv:109.0,X11,"malicious, malware",-1,US,AS6939 Hurricane Electric LLC,0
132.202.251.152,3000,3.15.22.167,WARN,GET,/favicon.ico,65.49.1.135,201,honeyaml::access-log,2025-04-12T13:45:52.295610Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/101.0.4951.41 Safari/537.36",Mozilla/5.0,Linux x86_64,AppleWebKit/537.36,X11,"malicious, malware",-1,US,AS6939 Hurricane Electric LLC,0
152.60.107.165,3000,3.15.22.167,WARN,GET,/,91.196.152.36,201,honeyaml::access-log,2025-04-11T05:11:33.450828Z,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0,Mozilla/5.0,Ubuntu,Linux x86_64,X11,"malicious, malware",0,FR,AS213412 ONYPHE SAS,0
152.60.107.211,3000,3.15.22.167,WARN,GET,/favicon.ico,91.196.152.91,201,honeyaml::access-log,2025-04-11T05:19:09.896166Z,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0,Mozilla/5.0,Ubuntu,Linux x86_64,X11,"malicious, malware",0,FR,AS213412 ONYPHE SAS,0
133.111.130.151,3000,3.15.22.167,WARN,GET,/,64.23.133.24,201,honeyaml::access-log,2025-04-11T08:48:30.968632Z,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",Mozilla/5.0,Win64,x64,Windows NT 10.0,,0,US,"AS14061 DigitalOcean, LLC",0
6.251.21.112,80,,WARN,GET,/,198.235.24.143,201,honeyaml::access-log,2025-04-11T20:55:36.021118Z,"Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com","Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39",,,"presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com","malicious, malware, phishing",-5,BE,AS396982 Google LLC,0
234.78.254.170,3000,3.15.22.167,WARN,GET,/,20.163.1.40,201,honeyaml::access-log,2025-04-11T22:40:47.983557Z,Mozilla/5.0 zgrab/0.x,Mozilla/5.0 zgrab/0.x,,,,"malicious, malware",0,US,AS8075 Microsoft Corporation,0
210.227.77.95,3000,3.15.22.167,WARN,GET,/,44.220.188.161,201,honeyaml::access-log,2025-04-02T08:05:37.930512Z,"Mozilla/5.0 (Windows NT 6.2;en-US) AppleWebKit/537.32.36 (KHTML, live Gecko) Chrome/53.0.3100.108 Safari/537.32",Mozilla/5.0,en-US,AppleWebKit/537.32.36,Windows NT 6.2,"malicious, malware",0,US,"AS14618 Amazon.com, Inc.",0
152.60.107.106,3000,3.15.22.167,WARN,GET,/,91.196.152.148,201,honeyaml::access-log,2025-04-02T15:52:32.830297Z,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0,Mozilla/5.0,Ubuntu,Linux x86_64,X11,"malicious, malware",0,FR,AS213412 ONYPHE SAS,0
152.60.107.94,3000,3.15.22.167,WARN,GET,/,91.196.152.162,201,honeyaml::access-log,2025-04-02T15:54:10.943921Z,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:130.0) Gecko/20100101 Firefox/130.0,Mozilla/5.0,Ubuntu,Linux x86_64,X11,"malicious, malware",0,FR,AS213412 ONYPHE SAS,0
