Anon Src IP,eventid,operation,url,Src Port,Dst Port,sensor,request,user_agent,Dst IP,query,VT Malicious,VT Engines,VT Labels,VT Tags,VT Reputation,Geo Location,ISP,Malicious_Flag
112.50.179.145,ipphoney.get-printer-attributes,Get-Printer-Attributes,/ipp,41244,631,c553d81c1945,POST,Mozilla/5.0 zgrab/0.x,192.168.128.2,"{""groups"": [{""attributes"": [{""attribute_name"": ""attributes-charset"", ""attribute_type"": ""charset"", ""attribute_value"": [""utf-8""]}, {""attribute_name"": ""attributes-natural-language"", ""attribute_type"": ""language"", ""attribute_value"": [""en-us""]}, {""attribute_name"": ""printer-uri"", ""attribute_type"": ""uri"", ""attribute_value"": [""ipp://3.15.22.167:631/ipp""]}, {""attribute_name"": ""requested-attributes"", ""attribute_type"": ""keyword"", ""attribute_value"": [""all""]}], ""group_type"": ""Operation-Attributes-Tag""}], ""operation"": ""Get-Printer-Attributes"", ""request_id"": ""00000001"", ""version"": ""2.1""}",6,"Criminal IP, CINS Army, Cluster25, CyRadar, Guardpot, IPsum",malicious,,-1,US,AS8075 Microsoft Corporation,0
234.147.72.170,ipphoney.get-printer-attributes,Get-Printer-Attributes,/ipp/print,38226,631,c553d81c1945,POST,PythonIPP/0.0.0,192.168.128.2,"{""groups"": [{""attributes"": [{""attribute_name"": ""attributes-charset"", ""attribute_type"": ""charset"", ""attribute_value"": [""utf-8""]}, {""attribute_name"": ""attributes-natural-language"", ""attribute_type"": ""language"", ""attribute_value"": [""en-US""]}, {""attribute_name"": ""printer-uri"", ""attribute_type"": ""uri"", ""attribute_value"": [""ipp://3.15.22.167:631/ipp/print""]}, {""attribute_name"": ""requesting-user-name"", ""attribute_type"": ""nameWithoutLanguage"", ""attribute_value"": [""PythonIPP""]}, {""attribute_name"": ""requested-attributes"", ""attribute_type"": ""keyword"", ""attribute_value"": [""printer-device-id"", ""printer-name"", ""printer-type"", ""printer-location"", ""printer-info"", ""printer-make-and-model"", ""printer-state"", ""printer-state-message"", ""printer-state-reason"", ""printer-supply"", ""printer-up-time"", ""printer-uri-supported"", ""device-uri"", ""printer-is-shared"", ""printer-more-info"", ""printer-firmware-string-version"", ""marker-colors"", ""marker-high-levels"", ""marker-levels"", ""marker-low-levels"", ""marker-names"", ""marker-types""]}], ""group_type"": ""Operation-Attributes-Tag""}], ""operation"": ""Get-Printer-Attributes"", ""request_id"": ""00002C9A"", ""version"": ""2.0""}",1,Criminal IP,malicious,,-1,US,AS8075 Microsoft Corporation,0
108.90.123.129,ipphoney.connect,,/,59646,631,64732569c5c5,GET,"Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com",172.29.0.2,,9,"ADMINUSLabs, Criminal IP, BitDefender, Certego, CINS Army, CyRadar, G-Data, Lionic, SOCRadar","malicious, phishing, malware",,-2,US,AS396982 Google LLC,0
238.231.117.60,ipphoney.connect,,/,56924,631,8c9ee096f5ca,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36,192.168.16.2,,0,,,,0,US,"AS16509 Amazon.com, Inc.",0
238.231.117.60,ipphoney.connect,,/,56926,631,8c9ee096f5ca,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36,192.168.16.2,,0,,,,0,US,"AS16509 Amazon.com, Inc.",0
238.231.117.60,ipphoney.get-printer-attributes,Get-Printer-Attributes,/ipp,48092,631,8c9ee096f5ca,POST,Mozilla/5.0 zgrab/0.x,192.168.16.2,"{""groups"": [{""attributes"": [{""attribute_name"": ""attributes-charset"", ""attribute_type"": ""charset"", ""attribute_value"": [""utf-8""]}, {""attribute_name"": ""attributes-natural-language"", ""attribute_type"": ""language"", ""attribute_value"": [""en-us""]}, {""attribute_name"": ""printer-uri"", ""attribute_type"": ""uri"", ""attribute_value"": [""ipp://3.15.22.167:631/ipp""]}, {""attribute_name"": ""requested-attributes"", ""attribute_type"": ""keyword"", ""attribute_value"": [""all""]}], ""group_type"": ""Operation-Attributes-Tag""}], ""operation"": ""Get-Printer-Attributes"", ""request_id"": ""00000001"", ""version"": ""2.1""}",0,,,,0,US,"AS16509 Amazon.com, Inc.",0
240.107.116.131,ipphoney.connect,,/,42742,631,8c9ee096f5ca,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36,192.168.16.2,,1,Fortinet,malware,,0,US,"AS16509 Amazon.com, Inc.",0
240.107.116.131,ipphoney.connect,,/,42758,631,8c9ee096f5ca,GET,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36,192.168.16.2,,1,Fortinet,malware,,0,US,"AS16509 Amazon.com, Inc.",0
240.107.116.131,ipphoney.get-printer-attributes,Get-Printer-Attributes,/ipp,42772,631,8c9ee096f5ca,POST,Mozilla/5.0 zgrab/0.x,192.168.16.2,"{""groups"": [{""attributes"": [{""attribute_name"": ""attributes-charset"", ""attribute_type"": ""charset"", ""attribute_value"": [""utf-8""]}, {""attribute_name"": ""attributes-natural-language"", ""attribute_type"": ""language"", ""attribute_value"": [""en-us""]}, {""attribute_name"": ""printer-uri"", ""attribute_type"": ""uri"", ""attribute_value"": [""ipp://3.15.22.167:631/ipp""]}, {""attribute_name"": ""requested-attributes"", ""attribute_type"": ""keyword"", ""attribute_value"": [""all""]}], ""group_type"": ""Operation-Attributes-Tag""}], ""operation"": ""Get-Printer-Attributes"", ""request_id"": ""00000001"", ""version"": ""2.1""}",1,Fortinet,malware,,0,US,"AS16509 Amazon.com, Inc.",0
89.36.27.85,ipphoney.connect,,/,64594,631,8c9ee096f5ca,GET,"Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com",192.168.16.2,,7,"ADMINUSLabs, Criminal IP, Certego, Chong Lua Dao, CINS Army, CyRadar, IPsum",malicious,,-1,US,AS396982 Google LLC,0
