time,action,Anon Src IP,src_port,level,VT Malicious,VT Engines,VT Labels,VT Reputation,Geo Location,ISP,Unnamed: 11,VT Tags,Malicious_Flag
3/13/2025 7:28,NewConnect,132.202.251.59,17834,info,11,"ADMINUSLabs, BitDefender, CRDF, Cyble, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar","malicious, phishing, malware",-4,US,AS6939 Hurricane Electric LLC,,,0
3/13/2025 7:28,INFO,132.202.251.59,17834,info,11,"ADMINUSLabs, BitDefender, CRDF, Cyble, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar","malicious, phishing, malware",-4,US,AS6939 Hurricane Electric LLC,,,0
3/13/2025 7:28,Closed,132.202.251.59,17834,info,11,"ADMINUSLabs, BitDefender, CRDF, Cyble, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar","malicious, phishing, malware",-4,US,AS6939 Hurricane Electric LLC,,,0
3/13/2025 8:25,NewConnect,182.13.84.208,39764,info,1,SOCRadar,malware,-1,CN,"AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.",,,0
3/13/2025 8:25,info,182.13.84.208,39764,info,1,SOCRadar,malware,-1,CN,"AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.",,,0
3/13/2025 8:25,Closed,182.13.84.208,39764,info,1,SOCRadar,malware,-1,CN,"AS38365 Beijing Baidu Netcom Science and Technology Co., Ltd.",,,0
3/13/2025 9:24,info,208.240.146.163,56804,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 9:24,NewConnect,208.240.146.163,56804,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 9:24,Closed,208.240.146.163,56804,info,1,SOCRadar,malware,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 15:13,info server,164.219.131.225,58124,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 15:13,ping,164.219.131.225,58124,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 15:13,NewConnect,164.219.131.225,58124,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 15:13,hello 3,164.219.131.225,58124,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 15:13,Closed,164.219.131.225,58124,info,0,,,0,CN,"AS37963 Hangzhou Alibaba Advertising Co.,Ltd.",,,0
3/13/2025 16:47,NewConnect,154.90.173.76,39352,info,1,SOCRadar,malicious,0,MK,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,,,0
