app_name,app_version,event_timestamp,event_uuid,created_by_node_id,collected_method,transport_type,Anon Src IP,Dst IP,called_number,sip_method,sip_user_agent,sip_message,VT Malicious,VT Engines,VT Labels,VT Tags,VT Reputation,Geo Location,ISP,Malicious_Flag
sentrypeer,3.0.2,43:24.7,1888e4a7-af44-4783-ae14-5945dde9e730,ee0f8ecc-3e05-42a4-91c4-24ffc9c68b19,responsive,TCP,7.77.230.157,192.168.64.2,test.echo,OPTIONS,NOT_FOUND,"OPTIONS sip:censysinspect@censys.io SIP/2.0
Via: SIP/2.0/UDP 127.0.0.1;rport
From: Censys <sip:censysinspect@censys.io>
To: <sip:test.echo@sip5060.net>
Call-ID: a84b4c76e66710
CSeq: 1 OPTIONS
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",12,"ADMINUSLabs, Criminal IP, alphaMountain.ai, BitDefender, CyRadar, Forcepoint ThreatSeeker, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar","malicious, phishing, malware",,-3,HK,"AS398722 Censys, Inc.",0
sentrypeer,3.0.2,30:04.3,6dad2ef2-51cc-4631-a37d-683b7ebfbc5a,ee0f8ecc-3e05-42a4-91c4-24ffc9c68b19,responsive,TCP,12.47.16.9,192.168.64.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",8,"ArcSight Threat Intelligence, BitDefender, Certego, CRDF, CyRadar, G-Data, Lionic, SOCRadar","malware, phishing, malicious",,-3,BR,AS396982 Google LLC,0
sentrypeer,3.0.2,12:49.1,bb5fe14a-6f17-4862-8a91-8956a1d00c36,ee0f8ecc-3e05-42a4-91c4-24ffc9c68b19,responsive,TCP,93.154.138.15,192.168.64.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/TCP nm;branch=foo
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",11,"ADMINUSLabs, Criminal IP, BitDefender, CINS Army, CyRadar, Fortinet, G-Data, Guardpot, Lionic, SOCRadar, VIPRE","malicious, phishing, malware",,-3,DE,AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,0
sentrypeer,3.0.2,54:07.7,aaff385b-739a-4da6-8f82-ec0a1c3e8332,5c637576-6dc9-43c9-973c-51a55f774621,responsive,TCP,14.184.61.124,172.21.0.2,test.echo,OPTIONS,NOT_FOUND,"OPTIONS sip:censysinspect@censys.io SIP/2.0
Via: SIP/2.0/UDP 127.0.0.1;rport
From: Censys <sip:censysinspect@censys.io>
To: <sip:test.echo@sip5060.net>
Call-ID: a84b4c76e66710
CSeq: 1 OPTIONS
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",12,"ADMINUSLabs, Criminal IP, alphaMountain.ai, BitDefender, CRDF, CyRadar, Forcepoint ThreatSeeker, Fortinet, G-Data, Guardpot, Lionic, SOCRadar","malicious, phishing, malware",,-5,US,"AS398324 Censys, Inc.",0
sentrypeer,3.0.2,39:08.7,8306551f-96a2-41ec-94c8-736a747b31f5,5c637576-6dc9-43c9-973c-51a55f774621,responsive,TCP,6.251.21.31,172.21.0.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",11,"Criminal IP, BitDefender, Certego, CyRadar, Fortinet, G-Data, IPsum, Lionic, SOCRadar, Sophos, VIPRE","malicious, phishing, malware",,-3,BE,AS396982 Google LLC,0
sentrypeer,3.0.2,56:04.2,033750f1-ae3a-4b6d-93f7-f2aae9c3cf6b,5c637576-6dc9-43c9-973c-51a55f774621,responsive,TCP,0.71.179.37,172.21.0.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/UDP nm;branch=foo;rport
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",5,"Criminal IP, ArcSight Threat Intelligence, CyRadar, IPsum, SOCRadar","malicious, malware",,0,US,AS213412 ONYPHE SAS,0
sentrypeer,3.0.2,39:10.2,f0d2378d-ce27-4501-badf-c6c55a5d675d,5c637576-6dc9-43c9-973c-51a55f774621,responsive,TCP,8.159.191.81,172.21.0.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/TCP nm;branch=foo
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",1,SOCRadar,malware,,0,BR,AS27699 TELEFÔNICA BRASIL S.A,0
sentrypeer,3.0.2,47:44.8,5dcbf0a6-33b2-4c5c-8622-6239b3515df9,5c637576-6dc9-43c9-973c-51a55f774621,responsive,TCP,152.60.107.242,172.21.0.2,nm2,OPTIONS,NOT_FOUND,"OPTIONS sip:nm SIP/2.0
Via: SIP/2.0/UDP nm;branch=foo;rport
From: <sip:nm@nm>;tag=root
To: <sip:nm2@nm2>
Call-ID: 50000
CSeq: 42 OPTIONS
Contact: <sip:nm@nm>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",6,"ADMINUSLabs, Criminal IP, CyRadar, Forcepoint ThreatSeeker, Guardpot, SOCRadar","malicious, malware",,-1,FR,AS213412 ONYPHE SAS,0
sentrypeer,3.0.2,06:01.3,3725ae14-bbd8-46b1-89e9-abfcd40f5c23,551897b5-aeea-4728-a99d-e718f23768ff,responsive,TCP,12.47.16.200,172.31.0.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",12,"Criminal IP, ArcSight Threat Intelligence, BitDefender, Certego, CRDF, CyRadar, Fortinet, G-Data, IPsum, Lionic, SOCRadar, VIPRE","malicious, malware, phishing",,-1,US,AS396982 Google LLC,0
sentrypeer,3.0.2,29:53.3,2ab6331e-c4d7-49e8-91a1-076cafbba42f,454ba98c-eee3-4765-b812-a51ada777e5f,responsive,TCP,12.47.16.23,172.29.0.2,carol,OPTIONS,NOT_FOUND,"OPTIONS sip:carol@chicago.com SIP/2.0
Via: SIP/2.0/UDP pc33.atlanta.com;branch=z9hG4bKhjhs8ass877
From: Alice <sip:alice@atlanta.com>;tag=1928301774
To: <sip:carol@chicago.com>
Call-ID: a84b4c76e66710
CSeq: 63104 OPTIONS
Contact: <sip:alice@pc33.atlanta.com>
Accept: application/sdp
Max-forwards: 70
Content-Length: 0

",14,"ADMINUSLabs, Criminal IP, BitDefender, Chong Lua Dao, CRDF, CyRadar, Fortinet, G-Data, Guardpot, IPsum, Lionic, SOCRadar, Sophos, VIPRE","malicious, phishing, malware",,-7,BR,AS396982 Google LLC,0
